,percents,count_won,starting_player
57,"[0.46876277073968126, 0.4442639979161106, 0.45280196253062494, 0.4496429077224999, 0.4453987341772152, 0.7015611157272642, 0.6376818078677146, 0.5368374541332872]",3,Republican
58,"[0.5504133188298491, 0.5111569758589771, 0.6832812641030942, 0.6424616108329694, 0.4191213436928702, 0.43869375097316654, 0.45248910431605577, 0.4690820920913977]",4,Democrat
59,"[0.46348087744893707, 0.4282401117882234, 0.43850873387575146, 0.6961755025433181, 0.5657696150003843, 0.48762235616008986, 0.556699578906312, 0.5079413255669031]",4,Republican
60,"[0.5633111944405514, 0.5178262962648317, 0.6285225942250374, 0.6656357239042613, 0.38655036448170643, 0.44005341064164594, 0.4598611487700757, 0.5094786191312591]",5,Democrat
61,"[0.5673743617307175, 0.5123365709080178, 0.6410065684136209, 0.675865302143211, 0.41220680910174146, 0.4220740589394741, 0.43773240408808534, 0.4774119306581536]",4,Democrat
62,"[0.45172115350585085, 0.44752390754879223, 0.4727961309475476, 0.46563383431026495, 0.7018041510550738, 0.5796965367081718, 0.5231830232530978, 0.5008226144181872]",4,Republican
63,"[0.5151582343565222, 0.5120064042764039, 0.5702124719546474, 0.6453304310248243, 0.6636988614108781, 0.36594876577390495, 0.42089281181042393, 0.46860745779228064]",5,Democrat
64,"[0.5411617596143826, 0.6536215985515607, 0.6959263605899071, 0.37855785812410486, 0.4521933180311145, 0.4499195727705572, 0.49556868075085025, 0.4986049511074846]",3,Democrat
65,"[0.45847361415596616, 0.43804705111897535, 0.4653534694504145, 0.4533692906397214, 0.4269337540045285, 0.7116007092740864, 0.709488868188677, 0.5026764876272449]",3,Republican
66,"[0.44897251077875566, 0.4387063938876043, 0.46579719471053527, 0.4578858988443406, 0.43367654290631913, 0.4815498093981743, 0.7356067491207966, 0.7042266152834322]",2,Republican
67,"[0.659976004633588, 0.701358852796721, 0.4247917446188385, 0.4412559843192569, 0.44891343727555283, 0.471750090657059, 0.4969800926918573, 0.4991396819184756]",2,Democrat
68,"[0.5719790884047082, 0.553929295203783, 0.7429029937468873, 0.5493515192108628, 0.4108222550746104, 0.4514615892371419, 0.45193580462718425, 0.47457308320546454]",4,Democrat
69,"[0.45831941518063624, 0.45175723484860975, 0.4539318069510789, 0.4287463989890218, 0.4548787435903788, 0.6926844588419206, 0.6453407113722582, 0.5845172487563238]",3,Republican
