,percents,count_won,starting_player
78,"[0.4533820372328495, 0.5167863514966144, 0.44383876462189714, 0.5746109434072858, 0.4523440337275584, 0.5547275872477013, 0.48776508972267535, 0.7012540892279324]",4,Republican
79,"[0.4529128757204783, 0.5321878663785184, 0.45275469721841327, 0.6804394597323005, 0.44744613506001063, 0.5107558341350207, 0.3982998214424346, 0.6888797428767157]",4,Republican
80,"[0.44429538011941666, 0.5576829680137658, 0.4584029035772536, 0.6667159367260882, 0.47575244827428514, 0.5212976358654026, 0.5143574930821885, 0.5077765370060178]",5,Republican
81,"[0.6789197515313357, 0.44204145583438215, 0.5197129894401775, 0.4484940200146449, 0.712396162300438, 0.45775452731543453, 0.43177220964562696, 0.47131858581485586]",3,Democrat
82,"[0.5876576147175161, 0.4490633936510225, 0.5277493186551223, 0.438801913601168, 0.6246707414477747, 0.46170086088985435, 0.6881290322580645, 0.39877694253880214]",4,Democrat
83,"[0.5247464086481973, 0.43342338368210404, 0.6517638365580004, 0.4715291646134295, 0.702523305056081, 0.4768763412748567, 0.3930104037355145, 0.49569092559625566]",3,Democrat
84,"[0.5776271672061587, 0.4460071855662709, 0.5126794204610756, 0.44421974403598663, 0.6492586257468946, 0.4366975107201893, 0.694717952804808, 0.3935592200584465]",4,Democrat
85,"[0.43728196361311483, 0.5240192376225646, 0.4531023337490138, 0.6692079153946795, 0.4436283332198344, 0.6947269933959997, 0.47517566613183015, 0.47712646364626915]",3,Republican
86,"[0.44614501260008294, 0.6298883584947155, 0.4553044636311542, 0.7000869676565684, 0.4470292449038722, 0.521739434159972, 0.4360702169379688, 0.502140941749852]",4,Republican
87,"[0.5920365792029921, 0.4504713123298128, 0.5820753247331291, 0.44662947362370303, 0.5325456277944733, 0.46749422074417474, 0.6169665514258535, 0.47349504960191163]",4,Democrat
88,"[0.4339003803222113, 0.5425822374304007, 0.47422489978060295, 0.5963474799768977, 0.4762960039666879, 0.5175837527054481, 0.411674674992073, 0.6931316727910246]",4,Republican
89,"[0.5474558982543091, 0.4492484727025891, 0.5952729283624298, 0.4456742831109999, 0.5200888044415697, 0.41636958611753044, 0.5156076338230424, 0.6640730525651706]",5,Democrat
90,"[0.4477724556751671, 0.5608442042024921, 0.44766449969111793, 0.641805508492021, 0.45939022247776023, 0.6981457737449452, 0.39411486646182936, 0.4989561244522521]",3,Republican
91,"[0.541583300456518, 0.44424652326408476, 0.5874946622392464, 0.44844790439429544, 0.528254131890063, 0.4432999432999433, 0.711619248179065, 0.43773494524881196]",4,Democrat
92,"[0.6548854248265138, 0.4538834024790654, 0.5335976142204066, 0.47135937173111897, 0.6944000803936418, 0.4508269361692138, 0.4311353039378146, 0.49209624068221924]",3,Democrat
93,"[0.5743577449594393, 0.4500430183400492, 0.5619706668929345, 0.46128930042601135, 0.5384082121610294, 0.4663044863624777, 0.6437095865494885, 0.45989161727349703]",4,Democrat
94,"[0.45025870891023456, 0.7123851449647661, 0.43311495988859033, 0.6563709306416259, 0.44727196298289584, 0.47524991393372734, 0.47854469546313566, 0.48743702237902437]",2,Republican
95,"[0.4600862126388109, 0.6695504646521769, 0.4426934419233003, 0.7517481463620471, 0.4467828561810475, 0.42345333366368526, 0.49549289188785484, 0.49506166727519135]",2,Republican
96,"[0.5678299574248484, 0.4435745315437982, 0.6616343718130079, 0.4608663764927217, 0.7136968404212771, 0.40303973751606825, 0.39288958274198127, 0.5077169773501704]",4,Democrat
97,"[0.5257927551529509, 0.43735755723609243, 0.518911626707403, 0.46028198074277854, 0.6669918620988159, 0.47494497245441936, 0.6906410378578527, 0.38910546077144276]",4,Democrat
