,percents,count_won
43,"[0.4697405687828977, 0.7130014556980758, 0.4411171897494961, 0.49054444815903664, 0.7305263666116033, 0.4490141904315765, 0.5092053366258531, 0.3659025162532776]",3
44,"[0.4697405687828977, 0.4535700319627177, 0.5105804893959722, 0.6566309679259983, 0.4032046121628089, 0.4592319481154077, 0.4864897325862976, 0.7508536386232922]",3
45,"[0.44728652999787305, 0.4718108709513709, 0.4196218862681531, 0.668684008632347, 0.48824906919150224, 0.4592319481154077, 0.4798963497213685, 0.7508536386232922]",2
46,"[0.4336633027964511, 0.4778783915771351, 0.4692571510442629, 0.668684008632347, 0.5073818325544628, 0.41154138651151, 0.7200586847249876, 0.48868682332984087]",3
47,"[0.43404474240047036, 0.4778783915771351, 0.7063980921602736, 0.4139213488322098, 0.47713162966171385, 0.40912079301845955, 0.7386216474577494, 0.5121603435551682]",3
48,"[0.41639846189081353, 0.4778783915771351, 0.6637396722273223, 0.4334200739005482, 0.6279030512446259, 0.5921669089189106, 0.43286997092001406, 0.5181875206338725]",4
49,"[0.415595603915585, 0.4778783915771351, 0.6273254332313966, 0.6256628803581793, 0.4533127713045465, 0.6054346753850707, 0.5466067968707884, 0.42978944980944744]",4
50,"[0.4170758461383337, 0.4778783915771351, 0.4279664613730465, 0.45204625538583193, 0.5034405951716125, 0.7415406352272891, 0.650966793477651, 0.5169237197364364]",4
51,"[0.4164179647692532, 0.4347155958608869, 0.47705561515877654, 0.4331902588894411, 0.4815898458842661, 0.7086928099880034, 0.7016196409334763, 0.5118122505945082]",3
52,"[0.4076105700048759, 0.4447903870782259, 0.47705561515877654, 0.6902290146729705, 0.694831898451338, 0.4741908169853006, 0.44940250135416887, 0.5335204803511746]",3
53,"[0.4377818114180526, 0.4447903870782259, 0.4734972536682225, 0.3784897872352182, 0.7380205701376297, 0.7145630855261896, 0.4847420967169026, 0.515119826575971]",3
54,"[0.46701032255571795, 0.41663214277559035, 0.4759477048452195, 0.7117361017884578, 0.7120615319822142, 0.393434792082195, 0.4847420967169026, 0.515119826575971]",3
55,"[0.46289630118890357, 0.4510659159919028, 0.47556249840922393, 0.7117361017884578, 0.4964613953736453, 0.49183831005008094, 0.39405528187669797, 0.6981267145370886]",2
56,"[0.4694026576306797, 0.46342125473372, 0.47556249840922393, 0.3690186627809225, 0.542180825112748, 0.7629947385533977, 0.47501082195966593, 0.6529917238739924]",3
57,"[0.48988894548498346, 0.4710919586958289, 0.5392432131454398, 0.3650462503035521, 0.450541888319154, 0.7570475117687852, 0.48511401235473406, 0.6537480020751429]",3
58,"[0.5164236316302248, 0.4710919586958289, 0.7023797862306571, 0.4657763848588952, 0.47456996806362484, 0.6325489383083913, 0.47015505633994464, 0.4247139195639953]",3
